EnsGeneID	Symbol	PseudoTimePval	DE_Pval	qval	UB	CM	PV
ENSG00000180818	HOXC10	3.30E-33	5.25E-33	3.93E-30	0.188359084	1.980628996	0.44413135
ENSG00000054598	FOXC1	1.02E-20	2.79E-31	3.32E-28	0.082662445	0.517267959	1.278078289
ENSG00000143995	MEIS1	3.11E-30	9.20E-19	3.70E-27	0.130975716	1.274232541	0.20066159
ENSG00000189067	LITAF	1.01E-29	1.69E-10	1.20E-26	1.121323286	1.139564552	2.877795725
ENSG00000065978	YBX1	5.20E-29	1.08E-09	6.18E-26	9.906832194	5.531095758	9.867904546
ENSG00000179348	GATA2	0.526797712	8.49E-29	1.01E-25	0.579550423	0.02687163	0.031373248
ENSG00000075891	PAX2	2.57E-28	8.50E-06	3.06E-25	1.721479338	1.707012169	0.498645679
ENSG00000126778	SIX1	1.18E-18	1.52E-24	1.81E-21	0.06151139	1.084845108	0.26050581
ENSG00000187098	MITF	0.600804305	1.98E-24	2.36E-21	0.464415066	0.01034263	0.03552916
ENSG00000164683	HEY1	5.44E-16	3.11E-24	3.70E-21	0.154492594	0.48391111	1.418712152
ENSG00000120068	HOXB8	0.133949147	6.92E-24	8.23E-21	0.752277709	0.065335522	0.183264201
ENSG00000132170	PPARG	0.308273131	2.47E-23	2.94E-20	0.371390149	0	0.006855148
ENSG00000172216	CEBPB	3.92E-08	8.43E-23	1.00E-19	0.735490632	0.01026448	0.22360259
ENSG00000118689	FOXO3	2.02E-22	7.54E-09	2.41E-19	0.431793858	0.470950396	1.422530468
ENSG00000173917	HOXB2	4.11E-22	0.999444675	4.89E-19	1.129305892	1.631908853	0.505358245
ENSG00000120075	HOXB5	1.05E-21	0.516602976	1.25E-18	0.478189374	0.704343155	0.104202635
ENSG00000060138	YBX3	1.94E-21	0.624409776	2.31E-18	1.191530457	0.623780774	1.810561336
ENSG00000075426	FOSL2	0.176212006	3.23E-21	3.85E-18	0.572429858	0.041272059	0.08011983
ENSG00000006468	ETV1	3.75E-21	1.23E-06	4.46E-18	0.123699165	0.630112849	0.061848716
ENSG00000155090	KLF10	6.49E-07	5.51E-21	6.56E-18	1.798032178	0.41931159	0.971599201
ENSG00000078399	HOXA9	0.094744644	1.10E-20	1.30E-17	0.808872582	1.950551266	2.014067233
ENSG00000179528	LBX2	1.81E-20	5.07E-07	2.15E-17	0.059755513	0.506829133	0.020559428
ENSG00000115112	TFCP2L1	0.206067831	4.30E-19	5.11E-16	0.323085253	0.009625006	0.000749464
ENSG00000143867	OSR1	5.94E-19	1.11E-07	7.07E-16	0.032259463	0.406624833	0.014087916
ENSG00000253293	HOXA10	6.14E-19	0.000116598	7.30E-16	1.363236631	2.652770126	1.097941681
ENSG00000175879	HOXD8	6.78E-05	1.04E-18	1.23E-15	1.287171435	0.549990933	0.288034481
ENSG00000183734	ASCL2	0.266204493	1.10E-18	1.31E-15	0.282936882	0	0.01032804
ENSG00000180806	HOXC9	0.003197633	1.57E-18	1.87E-15	0.143475926	0.8707496	0.587157094
ENSG00000143799	PARP1	3.01E-18	7.43E-07	3.59E-15	2.056875777	3.42554589	2.446497321
ENSG00000116044	NFE2L2	4.54E-18	9.64E-06	5.40E-15	1.378969965	0.48595488	1.2280328
ENSG00000125968	ID1	1.27E-12	4.80E-18	5.71E-15	13.04399103	9.14076684	9.624226045
ENSG00000130522	JUND	4.71E-05	5.04E-18	6.00E-15	1.696185632	0.489957111	0.887488365
ENSG00000117318	ID3	7.94E-18	2.68E-06	9.45E-15	10.20976525	9.953209311	14.70273701
ENSG00000136826	KLF4	1.71E-17	2.89E-06	2.04E-14	0.570682774	0.038716151	0.47759128
ENSG00000123358	NR4A1	0.008379874	1.95E-17	2.31E-14	1.330875842	0.352884986	0.597564093
ENSG00000125618	PAX8	3.69E-17	5.49E-13	4.39E-14	2.350159081	0.938030687	1.620344289
ENSG00000184828	ZBTB7C	5.88E-17	2.08E-10	6.99E-14	0.033635524	0.044966451	0.534602287
ENSG00000134107	BHLHE40	0.901766355	6.18E-17	7.36E-14	0.485697003	0.067925531	0.069576946
ENSG00000121068	TBX2	0.817121212	1.57E-16	1.87E-13	0.345762322	0.009670263	0.021984514
ENSG00000103449	SALL1	2.18E-16	0.000320828	2.59E-13	0.153829472	0.603815249	0.105467406
ENSG00000135373	EHF	0.381852421	2.32E-16	2.75E-13	0.289820676	0.006161465	0
ENSG00000083307	GRHL2	1	3.71E-16	4.41E-13	0.210857486	0	0
ENSG00000117595	IRF6	1	3.92E-16	4.66E-13	0.225533418	0.001769159	0.003599696
ENSG00000148737	TCF7L2	6.33E-08	8.13E-16	9.68E-13	0.391737288	0.894513326	1.372022295
ENSG00000037965	HOXC8	9.05E-16	1.04E-07	1.08E-12	0.050342572	0.477551337	0.063481283
ENSG00000128645	HOXD1	9.40E-10	1.30E-15	1.54E-12	0.21731846	0.649704495	1.054002113
ENSG00000101493	ZNF516	3.47E-06	1.92E-15	2.29E-12	0.306040293	1.296655237	0.673182299
ENSG00000170577	SIX2	2.78E-12	2.45E-15	2.91E-12	0.013896264	0.543625207	0.106009269
ENSG00000250571	GLI4	2.61E-15	0.743530975	3.10E-12	0.131399449	0.005908614	0.301149796
ENSG00000198795	ZNF521	0.017895989	3.69E-15	4.39E-12	0.053015077	0.469858981	0.35152722
ENSG00000105856	HBP1	5.91E-15	1.67E-05	7.03E-12	0.530475216	0.590725697	1.274726294
ENSG00000082641	NFE2L1	7.78E-15	0.000111752	9.26E-12	0.337236877	0.318267798	0.930824528
ENSG00000103460	TOX3	0.053518711	9.12E-15	1.08E-11	0.301775687	0.029573456	0.001510189
ENSG00000179981	TSHZ1	0.038017719	1.80E-14	2.14E-11	0.024548963	0.339821698	0.358130736
ENSG00000196767	POU3F4	0.173959436	2.24E-14	2.67E-11	0.222700536	0.007335088	0.001510189
ENSG00000169554	ZEB2	1.78E-13	2.57E-14	3.06E-11	0.124543005	0.29143864	0.817533305
ENSG00000148516	ZEB1	0.203082255	6.22E-14	7.40E-11	0.019038334	0.321744627	0.262726673
ENSG00000126733	DACH2	6.22E-14	0.01858104	7.40E-11	0.155403295	0.045204544	0.465038085
ENSG00000100219	XBP1	9.19E-14	0.025672471	1.09E-10	2.099580235	1.117286611	2.385292718
ENSG00000120093	HOXB3	6.33E-08	1.29E-13	1.54E-10	0.989044336	0.504064858	0.1610508
ENSG00000006704	GTF2IRD1	1.34E-13	0.272725116	1.59E-10	0.270599833	0.519088787	0.110627188
ENSG00000178860	MSC	0.272017728	2.50E-13	2.98E-10	0.200092269	0	0.003657371
ENSG00000164920	OSR2	4.09E-13	0.000571477	4.87E-10	0.097662947	0.058662231	0.477310233
ENSG00000103495	MAZ	4.11E-13	0.00015589	4.89E-10	0.437943163	0.358486189	1.088701305
ENSG00000251493	FOXD1	5.24E-13	8.84E-11	6.24E-10	0.031655927	0.112275738	0.490801325
ENSG00000244405	ETV5	6.80E-13	0.862168914	8.09E-10	0.406371101	0.69211118	0.13605951
ENSG00000182463	TSHZ2	0.007654547	6.80E-13	8.10E-10	0.062102458	0.410745757	0.471088981
ENSG00000197279	ZNF165	0.048792147	1.13E-12	1.35E-09	0.316053372	0.051489455	0.024756257
ENSG00000116017	ARID3A	1.45E-12	0.099474306	1.73E-09	1.360170076	0.839474587	1.423938697
ENSG00000149136	SSRP1	2.97E-12	0.000100027	3.54E-09	1.361667648	2.278739887	1.481477243
ENSG00000109787	KLF3	0.894277435	3.26E-12	3.88E-09	0.76758711	0.254684549	0.217261708
ENSG00000147862	NFIB	0.673931885	3.52E-12	4.19E-09	0.3824435	0.046182562	0.062277852
ENSG00000124440	HIF3A	0.335720687	4.07E-12	4.84E-09	0.500916819	0.086303641	0.096153832
ENSG00000125347	IRF1	4.22E-12	0.035664145	5.02E-09	0.739273116	0.300088806	0.744644136
ENSG00000141002	TCF25	4.69E-12	0.000438573	5.58E-09	1.604378648	1.598266772	2.732027594
ENSG00000177426	TGIF1	0.141823145	1.24E-11	1.48E-08	1.805853902	0.929690094	0.924156261
ENSG00000090447	TFAP4	1.89E-11	0.000608906	2.25E-08	0.244620843	0.685423442	0.233947309
ENSG00000105997	HOXA3	0.087302569	2.25E-11	2.68E-08	0.147054795	0.667842562	0.447627373
ENSG00000136997	MYC	2.82E-11	0.099144433	3.36E-08	0.681523636	0.314784282	0.787207324
ENSG00000152284	TCF7L1	2.94E-11	6.99E-06	3.50E-08	0.282009797	0.30934035	0.877786542
ENSG00000175197	DDIT3	3.23E-11	0.952659009	3.84E-08	0.430033349	0.17200581	0.651190094
ENSG00000115738	ID2	3.76E-11	0.000218266	4.47E-08	5.080547828	5.049525668	7.12241826
ENSG00000074219	TEAD2	4.01E-11	2.19E-06	4.77E-08	0.634255385	1.420078606	0.727874458
ENSG00000182742	HOXB4	0.001493784	4.73E-11	5.62E-08	0.685725617	0.324279153	0.101997755
ENSG00000172346	CSDC2	5.29E-11	1.06E-06	6.30E-08	0.015240823	0.035668511	0.300525037
ENSG00000136944	LMX1B	5.94E-11	5.15E-10	7.07E-08	0.001443511	0.026105422	0.308815802
ENSG00000172789	HOXC5	7.19E-11	2.98E-07	8.55E-08	0.020691159	0.342576046	0.037787628
ENSG00000182158	CREB3L2	8.40E-11	0.192488819	9.99E-08	0.330799974	0.192747184	0.643456144
ENSG00000128573	FOXP2	8.82E-11	1.54E-09	1.05E-07	0.005213952	0.032717362	0.342700655
ENSG00000102804	TSC22D1	1.26E-10	0.170163383	1.50E-07	4.67808499	3.556650579	5.174244132
ENSG00000072736	NFATC3	0.145218426	1.34E-10	1.59E-07	1.033009595	0.380003629	0.457980389
ENSG00000158055	GRHL3	1	1.37E-10	1.62E-07	0.167372755	0	0
ENSG00000166925	TSC22D4	1.63E-10	0.016824372	1.94E-07	0.519437994	0.384747158	1.046876045
ENSG00000007866	TEAD3	1.88E-10	0.035710103	2.24E-07	0.322634836	0.208896197	0.703634043
ENSG00000106004	HOXA5	0.158483454	2.96E-10	3.52E-07	0.123275068	0.519822687	0.408405758
ENSG00000127337	YEATS4	3.89E-10	0.357082662	4.63E-07	0.693687418	0.773460028	0.421282622
ENSG00000260027	HOXB7	0.489652064	4.64E-10	5.52E-07	1.346808028	0.671911642	0.611234107
ENSG00000198353	HOXC4	7.39E-10	1.99E-07	8.79E-07	0.023606702	0.287724911	0.059944644
ENSG00000175592	FOSL1	0.70906412	8.32E-10	9.90E-07	0.133015794	0.003052413	0
ENSG00000120690	ELF1	9.27E-10	0.00042417	1.10E-06	0.41785298	0.04207509	0.364576545
ENSG00000185630	PBX1	9.44E-10	0.002688139	1.12E-06	0.888649567	0.828492477	0.309626456
ENSG00000122691	TWIST1	1	1.02E-09	1.22E-06	0.112123326	0	0
ENSG00000125482	TTF1	1.05E-09	0.254850361	1.25E-06	0.503329117	0.772209995	0.343145205
ENSG00000106546	AHR	0.230144171	1.15E-09	1.36E-06	0.21248982	0.002432153	0.022200275
ENSG00000144218	AFF3	2.81E-09	4.25E-06	3.35E-06	0.024904695	0.280836993	0.029514906
ENSG00000196482	ESRRG	0.007693618	3.91E-09	4.66E-06	0.315837972	0.092950095	0.024994617
ENSG00000019549	SNAI2	6.51E-09	4.38E-09	5.21E-06	0.159326094	0.577410311	0.434456694
ENSG00000008196	TFAP2B	0.085768353	4.94E-09	5.88E-06	0.125938364	0	0.009433755
ENSG00000150347	ARID5B	2.94E-05	5.56E-09	6.61E-06	1.043459756	1.505727897	1.987434378
ENSG00000104447	TRPS1	0.69339258	6.53E-09	7.77E-06	0.305630821	0.052987345	0.060680496
ENSG00000168214	RBPJ	2.90E-06	1.02E-08	1.22E-05	0.881290877	1.821895416	1.288431928
ENSG00000175322	ZNF519	1.03E-08	0.000860755	1.23E-05	0.046418101	0.222394995	0.039592157
ENSG00000073584	SMARCE1	0.003436609	1.13E-08	1.35E-05	1.919951569	3.101656985	2.65440608
ENSG00000197063	MAFG	1.29E-08	0.033979765	1.53E-05	0.24990952	0.053281478	0.253791615
ENSG00000213676	ATF6B	1.34E-08	0.099305491	1.60E-05	1.213435728	1.118795737	1.760815455
ENSG00000177683	THAP5	0.002752732	1.79E-08	2.13E-05	0.163926655	0.400401537	0.634825181
ENSG00000071564	TCF3	2.01E-08	0.192100199	2.40E-05	0.216992896	0.431805254	0.121243149
ENSG00000119508	NR4A3	0.036283176	3.11E-08	3.70E-05	0.186243012	0.004939428	0.037443872
ENSG00000123388	HOXC11	3.22E-08	2.70E-05	3.83E-05	0.045455576	0.343711305	0.065272493
ENSG00000128709	HOXD9	3.48E-08	0.142155071	4.14E-05	0.484336099	0.52127414	0.184929997
ENSG00000129654	FOXJ1	0.013171153	3.98E-08	4.73E-05	0.409819351	0.037236437	0.172420834
ENSG00000008083	JARID2	4.42E-08	1.53E-05	5.26E-05	0.257966116	0.272919592	0.821317173
ENSG00000112242	E2F3	5.94E-08	0.001273497	7.07E-05	0.11588691	0.270242254	0.204388906
ENSG00000257923	CUX1	0.006924247	1.01E-07	0.000120256	0.574533956	1.239859954	0.899654942
ENSG00000204304	PBX2	1.11E-07	0.386148371	0.000132618	0.380111004	0.260893384	0.536054407
ENSG00000166888	STAT6	1.31E-07	1.57E-05	0.000155946	0.431304871	0.064232902	0.304412472
ENSG00000136770	DNAJC1	1.33E-07	0.063429357	0.000157827	0.404914678	0.318377301	0.744113083
ENSG00000113580	NR3C1	1.39E-07	4.21E-05	0.000165849	0.033964598	0.061605533	0.286198598
ENSG00000165512	ZNF22	0.002019621	1.47E-07	0.000175031	1.100787509	2.016293551	1.563813212
ENSG00000120693	SMAD9	0.239648618	1.82E-07	0.000216458	0.107949906	0.362234657	0.306600114
ENSG00000064490	RFXANK	0.011403899	2.05E-07	0.000243379	0.634985109	1.339311564	1.050875981
ENSG00000181444	ZNF467	2.13E-07	0.935005106	0.000252877	0.363960194	0.215564261	0.526072742
ENSG00000030419	IKZF2	1	2.20E-07	0.000262094	0.127327913	0.007361419	0.001192798
ENSG00000129514	FOXA1	1	2.44E-07	0.000289849	0.106408276	0	0
ENSG00000130940	CASZ1	2.77E-07	0.89894168	0.000329136	0.103535856	0.016388903	0.178868993
ENSG00000151090	THRB	0.630539967	2.84E-07	0.000337387	0.097805798	0	0.005449228
ENSG00000100105	PATZ1	0.267296211	3.82E-07	0.00045515	0.658618413	0.276086745	0.281893554
ENSG00000177508	IRX3	0.595374213	4.04E-07	0.000480384	0.111677233	0.006898086	0.002683078
ENSG00000182979	MTA1	5.27E-07	0.232166662	0.000627226	0.616574811	0.295209312	0.73428721
ENSG00000177030	DEAF1	5.60E-07	0.239390674	0.000666476	0.154932357	0.075430167	0.316369324
ENSG00000102935	ZNF423	0.125291257	5.75E-07	0.000684629	0.10651611	0.243475436	0.378357554
ENSG00000107249	GLIS3	0.840223397	6.95E-07	0.000826568	0.253828589	0.048493662	0.055801155
ENSG00000142611	PRDM16	0.39565668	8.04E-07	0.000956474	0.101837131	0.002288845	0
ENSG00000116539	ASH1L	8.73E-07	0.36417111	0.001039249	0.923314418	0.676919637	0.991835512
ENSG00000173473	SMARCC1	8.86E-07	0.773115677	0.001054758	1.810667569	2.185487264	1.485643968
ENSG00000090661	CERS4	0.673474648	8.95E-07	0.001064744	0.512453567	0.176858793	0.216835214
ENSG00000005889	ZFX	9.27E-07	0.00234242	0.001103376	0.250220671	0.273432499	0.593659459
ENSG00000141905	NFIC	0.000144586	9.41E-07	0.001119936	0.088961679	0.169204225	0.445342296
ENSG00000113387	SUB1	9.70E-07	1.07E-06	0.001154457	4.077532127	4.640237001	6.008098392
ENSG00000198554	WDHD1	1.17E-06	0.70864702	0.001387402	0.175321603	0.206169753	0.062928845
ENSG00000197362	ZNF786	0.005140986	1.21E-06	0.001433959	0.036418984	0.240036339	0.10517259
ENSG00000164853	UNCX	1.54E-06	0.000935652	0.001829562	0.013468391	0.186449295	0.020426273
ENSG00000153879	CEBPG	1.55E-06	0.442884614	0.001845729	0.232063837	0.180519365	0.178662882
ENSG00000169714	CNBP	2.05E-05	1.69E-06	0.002006658	3.870073478	5.435356471	4.657744973
ENSG00000113916	BCL6	0.248772594	2.90E-06	0.003449623	0.205502132	0.047481319	0.023786265
ENSG00000204514	ZNF814	3.04E-06	0.000572692	0.003618354	0.356425556	0.434838931	0.769001267
ENSG00000138795	LEF1	3.29E-06	0.912960257	0.00391469	0.096509612	0.142758251	0.034448528
ENSG00000162613	FUBP1	4.40E-06	0.039507356	0.005240951	1.378835722	1.896201168	1.343147366
ENSG00000077092	RARB	5.26E-06	0.357870123	0.006261614	0.150491085	0.205717054	0.115257115
ENSG00000104856	RELB	6.16E-06	0.360808897	0.007332206	0.114208309	0.007081082	0.167813809
ENSG00000119866	BCL11A	0.034798881	6.65E-06	0.007908923	0.359674887	0.112701992	0.122642696
ENSG00000110693	SOX6	7.15E-06	0.008714596	0.008504768	0.33119955	0.113241616	0.236138998
ENSG00000161277	THAP8	0.000280632	7.73E-06	0.009194723	0.091436656	0.150267338	0.424786672
ENSG00000179965	ZNF771	8.96E-06	0.248750449	0.01065806	0.104712024	0.069554247	0.269416412
ENSG00000165495	PKNOX2	0.072847597	9.50E-06	0.011302406	0.015521041	0.131728964	0.088173058
ENSG00000181690	PLAG1	1.00E-05	0.657852677	0.01193699	0.334748647	0.247862717	0.512060192
ENSG00000123636	BAZ2B	1.01E-05	0.000483371	0.012075985	0.855128455	1.089625085	1.31499136
ENSG00000153234	NR4A2	1.11E-05	0.881090751	0.013259999	0.045562113	0.001348142	0.093166482
ENSG00000197905	TEAD4	1.13E-05	0.002314932	0.013415015	0.147654406	0.122942908	0.404889541
ENSG00000137834	SMAD6	1.16E-05	0.019330293	0.013756915	0.06063168	0.056065868	0.203298493
ENSG00000111145	ELK3	0.126047612	1.17E-05	0.013979472	0.296583208	0.119781026	0.064687803
ENSG00000057935	MTA3	1.28E-05	0.706393837	0.015186063	0.391753199	0.552194631	0.230757356
ENSG00000175727	MLXIP	1.82E-05	0.002456549	0.021601881	0.285501238	0.283352664	0.631866844
ENSG00000168610	STAT3	1.87E-05	0.004152807	0.022297501	1.029601165	0.865238774	0.560385988
ENSG00000198715	GLMP	1.94E-05	0.00905512	0.023063354	0.318847652	0.283545401	0.677850534
ENSG00000122592	HOXA7	0.018181922	2.06E-05	0.024458875	0.240911449	0.430918449	0.605624001
ENSG00000185650	ZFP36L1	0.01508771	2.13E-05	0.025374614	5.021065675	4.179396101	3.801805379
ENSG00000186564	FOXD2	3.47E-05	2.17E-05	0.025870642	0.040856673	0.104433892	0.304574162
ENSG00000089335	ZNF302	0.032223188	2.26E-05	0.026927567	1.062607843	1.786658135	1.400529724
ENSG00000118263	KLF7	2.42E-05	0.00020558	0.02884583	0.084205096	0.413969564	0.139095717
ENSG00000139613	SMARCC2	6.04E-05	2.43E-05	0.028903122	0.696312266	1.14522527	1.080224214
ENSG00000187607	ZNF286A	3.14E-05	0.214636523	0.037359079	0.108768025	0.222328846	0.059064806
ENSG00000100644	HIF1A	3.32E-05	0.980340063	0.03955626	0.971598372	0.708124514	1.240805125
ENSG00000118495	PLAGL1	0.008952037	3.61E-05	0.042989548	0.616453988	0.40258521	0.207207982
ENSG00000087510	TFAP2C	1	3.62E-05	0.043105802	0.051081171	0	0
ENSG00000111704	NANOG	3.88E-05	0.671628154	0.046118583	0.065944063	0.022469518	0.127653862
ENSG00000120669	SOHLH2	4.21E-05	0.002097037	0.05009141	0	0.082705681	0.0011163
ENSG00000070476	ZXDC	4.43E-05	0.345316838	0.052711028	0.06874108	0.018853631	0.169011018
ENSG00000127528	KLF2	4.53E-05	0.205385651	0.053853378	0.100993043	0.00201166	0.103838996
ENSG00000102908	NFAT5	4.77E-05	0.002379867	0.056815392	0.561529363	0.210506491	0.441138334
ENSG00000173068	BNC2	5.21E-05	0.011154284	0.061950821	0.021106139	0.022241023	0.148028503
ENSG00000163848	ZNF148	5.38E-05	0.001127333	0.064069686	0.565416654	0.599990676	1.037081721
ENSG00000196693	ZNF33B	0.001421336	5.48E-05	0.065241493	0.437325458	0.276234625	0.120196239
ENSG00000198039	ZNF273	5.73E-05	0.023963437	0.068179127	0.19521191	0.149980716	0.047090866
ENSG00000171443	ZNF524	6.15E-05	0.007191895	0.07314378	0.110326066	0.119642024	0.324419772
ENSG00000174428	GTF2IRD2B	6.28E-05	0.343680704	0.074785779	0.16753554	0.048522571	0.212926569
ENSG00000157557	ETS2	0.000822399	7.46E-05	0.088828352	0.324173288	0.089053593	0.185697209
ENSG00000143194	MAEL	0.063376202	8.70E-05	0.103508602	0.016738511	0.14315618	0.062934257
ENSG00000123095	BHLHE41	1	9.83E-05	0.11698013	0.059011339	0	0
ENSG00000213015	ZNF580	9.85E-05	0.000288875	0.117168387	0.676075269	0.723591379	1.257036506
ENSG00000156853	ZNF689	0.284731838	9.88E-05	0.117625538	0.07069957	0.244786141	0.195702501
ENSG00000213020	ZNF611	0.97434006	0.000100871	0.120037077	0.156396354	0.045258949	0.042885936
ENSG00000213988	ZNF90	0.000109626	0.152598903	0.130454549	3.320489473	3.039643668	3.035754016
ENSG00000256463	SALL3	0.006677374	0.00011275	0.134172126	0.157593101	0.001838616	0.073266509
ENSG00000171295	ZNF440	0.119829134	0.000115062	0.136923313	0.191752913	0.032283334	0.081060208
ENSG00000156273	BACH1	0.000118351	0.314865816	0.140838128	0.375849965	0.218983921	0.371442569
ENSG00000163909	HEYL	0.661359135	0.000119408	0.142095469	0.021386782	0.093350299	0.140422371
ENSG00000176399	DMRTA1	0.000121743	0.160506537	0.14487438	0.055132557	0.022575072	0.157944335
ENSG00000167766	ZNF83	0.000131171	0.257505159	0.156093243	0.475007972	0.236448575	0.516368412
ENSG00000197472	ZNF695	0.000138378	0.68895159	0.164669944	0.073989537	0.127103416	0.026343589
ENSG00000171735	CAMTA1	0.000139973	0.052238275	0.166568349	1.820497232	2.363595161	1.911684208
ENSG00000198939	ZFP2	0.519011539	0.000158151	0.188200153	0.00437531	0.085440558	0.035996777
ENSG00000064195	DLX3	0.397270709	0.000182213	0.216834009	0.065248253	0	0.002214077
ENSG00000137166	FOXP4	0.000182464	0.023616043	0.21713249	0.187617503	0.129366145	0.039230307
ENSG00000185278	ZBTB37	0.00018782	0.394307916	0.223505486	0.168673426	0.077170343	0.199557703
ENSG00000167157	PRRX2	0.00098523	0.000192386	0.228939192	0.00563683	0.028965468	0.140373092
ENSG00000114439	BBX	0.00019876	0.019096636	0.236524882	1.171584268	1.202054964	1.768058864
ENSG00000162924	REL	0.032150127	0.00021331	0.253839246	0.651837895	0.23930306	0.452227724
ENSG00000168310	IRF2	0.000223379	0.512163239	0.265821536	0.230362695	0.144072857	0.376858725
