Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	WT176	WT188	WT190	WT196	WT192	WT178	WT68	WT34	WT48	WT14	WT22	WT30	WT32	WT36	WT12	WT26	WT9	WT20	WT8	WT24	WT16	WT4	WT28	WT38	WT42	WT44	WT40	WT112	WT120	WT152	WT158	WT160	WT182	WT184	WT186	WT200	
Amplification Peak 12	7q21.11 	chr7:57888216-96645334(probes 111561:114710)    	chr7:77756850-80118003(probes 112970:113168)    	chr7:77756850-95471817(probes 112970:114645)    	0.14417	    0.14417		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	2	0	0	2	0	2	0	0	0	0	1	0	0	0	0	1	2	0	1	1	0	0	0	2	2	0	0	0	0	2	0	2	0	
Amplification Peak 13	8p21.2  	chr8:23702686-25142733(probes 122055:122076)    	chr8:23712067-25132734(probes 122056:122075)    	chr8:23423759-25162731(probes 122054:122078)    	0.0045339	  0.0045339		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	2	0	0	0	0	2	0	2	0	
Amplification Peak 14	9q21.11 	chr9:69643480-69719944(probes 138758:138768)    	chr9:69643500-69719920(probes 138759:138767)    	chr9:69643500-69721096(probes 138759:138770)    	8.7984e-09	 8.7984e-09		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	2	0	1	0	
Amplification Peak 15	10q11.21	chr10:42398643-42400530(probes 148532:148541)  	chr10:42400196-42400454(probes 148533:148540)  	chr10:38939448-42681308(probes 148525:148576)  	2.4563e-15	 8.0954e-12		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	2	0	2	1	0	0	0	2	0	0	0	0	2	0	2	0	
Amplification Peak 16	10q11.21	chr10:42529431-42599927(probes 148569:148572)  	chr10:42529444-42597185(probes 148570:148571)  	chr10:38939448-42681308(probes 148525:148576)  	3.1706e-09	  0.0054032		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	
Amplification Peak 17	12q12   	chr12:33012408-47639197(probes 170809:171953)  	chr12:40879938-40884402(probes 171329:171334)  	chr12:40077029-41612538(probes 171310:171400)  	0.032672	   0.037186		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	1	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	2	1	1	0	0	0	2	2	0	0	0	0	2	0	2	0	
Amplification Peak 18	12q13.2 	chr12:55343929-56105341(probes 172662:172718)  	chr12:55344134-56095366(probes 172663:172717)  	chr12:55344134-56125290(probes 172663:172720)  	0.20895	    0.20895		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	2	0	1	2	0	0	0	0	0	1	1	0	0	0	0	2	0	2	1	1	0	0	0	2	2	0	0	0	0	2	0	2	0	
Amplification Peak 19	12q21.2 	chr12:71516651-89874422(probes 174041:175164)  	chr12:72666500-77202797(probes 174154:174388)  	chr12:71526594-89894403(probes 174042:175166)  	0.0045339	  0.0045339		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	1	0	2	2	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	1	2	0	0	0	0	2	0	2	0	
Amplification Peak 20	13q13.3 	chr13:35472662-36233953(probes 180471:180500)  	chr13:35482597-36224050(probes 180472:180499)  	chr13:35482597-36253759(probes 180472:180502)  	0.060295	   0.060295		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	
Amplification Peak 21	14q23.1 	chr14:60564470-60875178(probes 191511:191518)  	chr14:60574449-60865652(probes 191512:191517)  	chr14:59805000-61483922(probes 191493:191527)  	0.014231	   0.014231		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	
Amplification Peak 22	18q11.1 	chr18:18518909-19100757(probes 217313:217322)  	chr18:18518941-18519099(probes 217314:217321)  	chr18:15004192-19129948(probes 217309:217325)  	4.9372e-15	 4.9372e-15		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	0	0	0	2	0	2	0	2	0	2	2	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	2	0	0	0	
Amplification Peak 23	18q12.1 	chr18:24426520-28999118(probes 217826:217860)  	chr18:24436520-28989215(probes 217827:217859)  	chr18:24436520-29018925(probes 217827:217862)  	0.20895	    0.20895		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	2	0	
Amplification Peak 24	19q11   	chr19:24000060-30107111(probes 224254:224274)  	chr19:24009994-30097267(probes 224255:224273)  	chr19:24009994-30126798(probes 224255:224276)  	3.5591e-07	 3.5591e-07		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	
Deletion Peak  1	1p36.33 	chr1:1609406-1670957(probes 129:149)            	chr1:1618474-1670957(probes 130:149)            	chr1:1647815-3617109(probes 136:343)            	0.00050923	  0.0011166		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	
Deletion Peak  2	1p36.21 	chr1:12980117-13192576(probes 1258:1283)      	chr1:12987221-13128647(probes 1259:1274)      	chr1:12888290-13454199(probes 1231:1313)      	0.0064317	    0.17103		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	
Deletion Peak  3	1p36.11 	chr1:23876755-26768116(probes 2308:2591)      	chr1:26546261-26768116(probes 2576:2591)      	chr1:26566188-26615879(probes 2578:2579)      	0.10853	    0.10853		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	
Deletion Peak  4	1q21.1  	chr1:142713153-143743289(probes 11295:11345)	chr1:143144156-143188599(probes 11341:11343)	chr1:121129558-143743289(probes 11280:11345)	0.017883	   0.017883		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	
Deletion Peak  5	2q11.1  	chr2:92129750-95974063(probes 28511:28553)    	chr2:92320395-95974063(probes 28551:28553)    	chr2:92222631-95983929(probes 28521:28554)    	1.7131e-05	 1.7131e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  6	3q11.2  	chr3:97749468-98261817(probes 50557:50581)    	chr3:97787567-98261817(probes 50561:50581)    	chr3:97806617-97870800(probes 50563:50564)    	0.10825	    0.10853		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  7	4p16.1  	chr4:9346130-9564593(probes 60519:60533)        	chr4:9355523-9469532(probes 60520:60522)        	chr4:9369667-9477454(probes 60522:60523)        	0.19932	    0.19714		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak  8	4p11    	chr4:48860648-52717917(probes 64351:64678)    	chr4:48877815-49104590(probes 64353:64355)    	chr4:48894982-49139256(probes 64355:64356)    	0.0013899	  0.0013899		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
Deletion Peak  9	4q13.3  	chr4:69884762-71208745(probes 65615:65739)    	chr4:69952446-71133791(probes 65622:65731)    	chr4:69512848-71143160(probes 65593:65732)    	0.019024	   0.019024		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 10	6p11.2  	chr6:57078124-58778648(probes 97562:97625)    	chr6:57166297-58778648(probes 97571:97625)    	chr6:57393113-57398057(probes 97599:97600)    	0.1403	     0.1403		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 11	9q13    	chr9:66494592-67272111(probes 138597:138621)  	chr9:66971215-67047123(probes 138614:138615)  	chr9:66833874-67331178(probes 138603:138638)  	0.025987	   0.025987		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	
Deletion Peak 12	9q21.11 	chr9:69423669-70183842(probes 138748:138817)  	chr9:69643480-69711013(probes 138758:138759)  	chr9:69643500-69711035(probes 138759:138760)  	0.0004423	  0.0004423		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	
Deletion Peak 13	10q11.21	chr10:38736860-42907200(probes 148514:148577)	chr10:38938379-42385160(probes 148524:148525)	chr10:38934218-42681308(probes 148523:148576)	0.00023188	 0.00023188		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	
Deletion Peak 14	11q12.1 	chr11:49942581-57128362(probes 161120:161136)	chr11:51590389-57128362(probes 161123:161136)	chr11:56467760-56468211(probes 161130:161131)	0.052312	   0.047178		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 15	15q11.2 	chr15:22013373-22567263(probes 195866:195889)	chr15:22033176-22431940(probes 195868:195883)	chr15:20799036-22567263(probes 195757:195889)	0.019313	   0.019024		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 16	16q11.2 	chr16:33965583-47121174(probes 205335:205354)	chr16:33965709-47021550(probes 205339:205344)	chr16:33965712-46405155(probes 205340:205341)	0.00046263	 0.00046263		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	
Deletion Peak 17	16q23.1 	chr16:70786602-90109518(probes 207163:208787)	chr16:70796516-82682889(probes 207164:208073)	chr16:70993882-71017122(probes 207176:207177)	0.00046263	 0.00046263		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
Deletion Peak 18	18q11.2 	chr18:15004192-19129948(probes 217309:217325)	chr18:18519079-19129948(probes 217322:217325)	chr18:15004192-19129948(probes 217309:217325)	6.5949e-06	 6.5949e-06		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 19	19q12   	chr19:24009994-30156329(probes 224255:224279)	chr19:27738460-30126798(probes 224273:224276)	chr19:24009994-30126798(probes 224255:224276)	3.0279e-05	 3.0279e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Amplification Peak  1 - CN values	1q21.1  	chr1:145303907-145510375(probes 11509:11519)  	chr1:145310284-145507825(probes 11510:11518)  	chr1:145310284-145527040(probes 11510:11521)  	0.028639	   0.035742		Actual Copy Change Given	0.58	0	1.5668	-0.12433	0.00089211	0	0	-0.40933	0	0	0	-0.00063863	-0.00048704	0	0	0.0010698	0	0	0.745	0	0.24207	1.0557	2.4423	0	0.0004292	-0.00019682	-0.00050977	0.54083	0	0	-0.011399	-0.00046075	3.6552	0	1.7388	0	
Amplification Peak  2 - CN values	1q23.1  	chr1:158290463-159184790(probes 12731:12771)  	chr1:158300307-159175003(probes 12732:12770)  	chr1:158300307-159204363(probes 12732:12773)  	0.069508	    0.16166		Actual Copy Change Given	0.85158	-0.52191	1.8577	0.53487	0.00089211	0	0	0	0.88746	0	-0.00039378	-0.00063863	-0.00048704	0	0	0.0010698	0	0	0.94128	0	0.24207	1.2412	0.84635	0	0.0004292	-0.00019682	-0.00050977	0.73913	0	0	0	-0.00046075	3.6569	0	3.6569	0	
Amplification Peak  3 - CN values	1q31.3  	chr1:184778295-200017960(probes 15128:15821)  	chr1:196884291-197297539(probes 15664:15678)  	chr1:184020946-200172858(probes 15050:15833)  	0.0026878	  0.0032901		Actual Copy Change Given	0.85158	-0.52669	1.8577	3.6036	0.00089211	-0.48364	0	0	0.88746	0	-0.00039378	-0.00063863	-0.00048704	0	0	0.0010698	0	0	0.94128	0	0.24207	1.2412	-0.5564	0	0.0004292	-0.00019682	-0.00050977	0.73913	0	0	0.99423	-0.00046075	3.6569	0	3.4111	0	
Amplification Peak  4 - CN values	1q42.12 	chr1:225117281-225694115(probes 18140:18181)  	chr1:225117562-225685620(probes 18141:18180)  	chr1:225117562-226016632(probes 18141:18183)  	0.14417	    0.20895		Actual Copy Change Given	0.85158	0	1.8607	2.9278	0.00089211	0	0	0	1.0453	0	-0.00039378	-0.00063863	-0.00048704	0	0	0.0010698	0	0	0.94128	0	0.24207	1.2412	-0.55312	0	0.0004292	-0.00019682	-0.00050977	0.73913	0	0	0	-0.00046075	3.6569	0	1.4815	0	
Amplification Peak  5 - CN values	1q44    	chr1:248085012-249250621(probes 20339:20405)  	chr1:248637066-249250621(probes 20387:20405)  	chr1:248084580-249250621(probes 20336:20405)  	0.0094161	   0.016304		Actual Copy Change Given	0.77598	0	2.2874	2.5357	0.00089211	0	0	0	0.89498	0	-0.00039378	-0.00063863	0.0011515	0	0	0.0010698	0	0.00050906	1.221	0	0.24207	1.2412	-0.5564	0	0.0004292	-0.00019682	-0.00050977	0	0	0	0	-0.00046075	2.8667	0	2.9996	0	
Amplification Peak  6 - CN values	2p11.1  	chr2:92213343-92315348(probes 28520:28545)      	chr2:92222631-92315346(probes 28521:28544)      	chr2:92222631-96791669(probes 28521:28622)      	4.0474e-07	  7.681e-06		Actual Copy Change Given	0	-0.923	-0.0026222	-0.63636	3.2519	-1.194	-0.0003284	-0.60265	-1.0681	8.3717e-06	0	0	1.2105	-0.0011138	-1.0855	1.678	1.4358	-0.059262	0	0.059232	-0.7623	-0.62204	0.0083711	0	-0.024497	0.07193	-0.96015	3.2232	-0.71111	-0.00021301	-0.42408	-1.1747	3.1595	-0.816	0.47783	-0.00057774	
Amplification Peak  7 - CN values	2q11.1  	chr2:96455780-96697055(probes 28598:28620)      	chr2:96465552-96604729(probes 28599:28611)      	chr2:92222631-96791669(probes 28521:28622)      	0.0031372	    0.09278		Actual Copy Change Given	0	-0.53506	-0.0026222	3.6569	0	0	-0.0003284	0	0	8.3717e-06	0	0	-0.75034	-0.0011138	0	0	0.54461	-0.059262	-0.00035297	0.96684	0	-0.62204	0.0083711	0	-0.038017	-0.00022809	0	0	0.00012157	-0.00021301	0	0	3.1595	0	1.9688	0.00099505	
Amplification Peak  8 - CN values	3p11.1  	chr3:1-198022430(probes 41749:59664)             	chr3:75718634-97673267(probes 48767:50547)      	chr3:75718634-97701842(probes 48767:50550)      	0.20895	    0.20895		Actual Copy Change Given	0	-0.57476	0.00022094	1.458	0	-0.58033	-0.0003284	-0.30303	-0.00056118	-0.14353	0	0	0	0.5864	-0.00041339	0	0	0	0	-0.00049479	0.00012233	-0.62204	-0.5564	0	0	0	0	0	0	0.00013779	-0.00013217	0	2.3921	0	1.5655	0.87719	
Amplification Peak  9 - CN values	4p11    	chr4:48886398-49165646(probes 64354:64364)      	chr4:48894982-49165422(probes 64355:64363)      	chr4:48894982-49211431(probes 64355:64366)      	4.0474e-07	 4.0474e-07		Actual Copy Change Given	3.0841	-1.021	-0.22676	-0.067493	3.3573	0	-0.0003284	-0.88237	0	0	0	0	0	0	0	0.021034	1.125	0	-0.92205	0	0	-1.0655	-0.5564	0.87568	0	0	0	2.2926	0	0	-0.19536	-0.6315	3.6569	-0.7794	0	-0.00025338	
Amplification Peak 10 - CN values	6p12.1  	chr6:54480179-55630192(probes 97424:97442)      	chr6:54490042-55620250(probes 97425:97441)      	chr6:54079969-56505790(probes 97384:97504)      	0.0026878	  0.0026878		Actual Copy Change Given	0	0.00036937	0.96693	2.9928	0	0.0073439	-0.0003284	-0.77419	-0.0016806	0	0	0	0	0.43731	0	-0.00051438	0	0	-0.0017851	0.92308	0.72343	-0.19446	0.13259	0	0	0	0	0.00053588	0	0	0	0	3.6569	0.00068939	3.1725	0.93333	
Amplification Peak 11 - CN values	6q16.3  	chr6:100901111-105309884(probes 100701:100767)	chr6:100911073-102133992(probes 100702:100728)	chr6:100911073-105329514(probes 100702:100769)	0.013129	   0.013129		Actual Copy Change Given	0.92865	0	0.94984	1.7898	0.00049739	-0.16053	-0.0003284	0	-0.00039728	-1.0395	0	0	0	0.62745	0	0.00043897	0	0	-0.00046606	0.86462	0.64463	-0.15349	-0.5564	0	0	-0.00051689	-0.00025307	0.00053588	0	0	0	-0.0003278	3.6319	-0.00057723	1.4054	0.88	
Amplification Peak 12 - CN values	7q21.11 	chr7:57888216-96645334(probes 111561:114710)    	chr7:77756850-80118003(probes 112970:113168)    	chr7:77756850-95471817(probes 112970:114645)    	0.14417	    0.14417		Actual Copy Change Given	-0.00138	0	0.92063	1.4363	0	0	1.1252	-0.37716	0.94647	0	-0.44839	0	0	0.3262	0	0.003715	-0.00027262	0	0.89239	0.91617	0	0.59801	0.5591	8.4331e-05	0.0014182	0.001032	0.93434	0.95567	0.00089619	-0.00090947	0	-0.00069915	2.8383	0	1.3411	0	
Amplification Peak 13 - CN values	8p21.2  	chr8:23702686-25142733(probes 122055:122076)    	chr8:23712067-25132734(probes 122056:122075)    	chr8:23423759-25162731(probes 122054:122078)    	0.0045339	  0.0045339		Actual Copy Change Given	0.81262	0	0.93686	2.7419	0	0.77444	0.93747	0	-0.0093644	0	0	0	-0.0035778	0	0	0	0	0	0.97679	0.96941	0.96765	0.68462	0.073163	0	0	0	-3.1317e-05	0.9336	0	0	0	0	3.6569	-0.0068511	2.6486	0	
Amplification Peak 14 - CN values	9q21.11 	chr9:69643480-69719944(probes 138758:138768)    	chr9:69643500-69719920(probes 138759:138767)    	chr9:69643500-69721096(probes 138759:138770)    	8.7984e-09	 8.7984e-09		Actual Copy Change Given	-0.0002907	-0.65675	-0.00032313	-0.63636	2.7733	-1.0151	0.91257	-0.39801	-0.58588	-0.037432	0	-0.00090102	0.08249	-0.00079962	0	3.6569	0.0012042	0	-1.2106	0.48042	0.33952	-0.62272	1.2074	0	0	0	0.00023231	3.6569	-0.70887	-0.00046332	0	-0.71672	3.6569	-0.75268	0.72727	-0.00024373	
Amplification Peak 15 - CN values	10q11.21	chr10:42398643-42400530(probes 148532:148541)  	chr10:42400196-42400454(probes 148533:148540)  	chr10:38939448-42681308(probes 148525:148576)  	2.4563e-15	 8.0954e-12		Actual Copy Change Given	1.3234	-0.6393	0	-0.63636	3.2424	-0.91309	-0.0003284	-0.92674	-1.0607	0.82314	0	-0.0003831	-0.018962	0.61281	-0.5492	3.6569	0	0	-1.0489	-0.49583	1.4775	-1.2227	2.8065	0.10707	-0.00062188	-0.3448	-0.00098451	3.6569	-0.00054363	8.0112e-05	-0.13464	-0.60017	3.6569	-0.76056	3.3641	0.00040448	
Amplification Peak 16 - CN values	10q11.21	chr10:42529431-42599927(probes 148569:148572)  	chr10:42529444-42597185(probes 148570:148571)  	chr10:38939448-42681308(probes 148525:148576)  	3.1706e-09	  0.0054032		Actual Copy Change Given	0.00079343	-0.00079092	0	0.77375	3.2424	-0.91309	-0.56948	-0.92674	-0.0010442	0	-0.34988	-0.0003831	-0.018962	0	0	3.6569	1.1573	0	-0.0010305	0	0	-0.62204	2.8065	0.00042461	-0.00062188	-0.3448	-0.00067779	0.0014263	-0.00054363	8.0112e-05	-0.00030566	-0.58333	3.6569	-0.76056	2.6945	0.00040448	
Amplification Peak 17 - CN values	12q12   	chr12:33012408-47639197(probes 170809:171953)  	chr12:40879938-40884402(probes 171329:171334)  	chr12:40077029-41612538(probes 171310:171400)  	0.032672	   0.037186		Actual Copy Change Given	0.88	-0.50314	0.52525	3.6569	0	-0.039405	0.9636	-0.0035906	-0.001222	0	0.0015672	-7.8853e-05	-0.11225	0.51807	0	0	0	0	1.7889	0	1.0035	0.51129	0.37351	0	0	0	1.1422	1.726	0	0	0	0	3.6569	0	1.3687	0	
